"","year","macrounit","MDperKMsqFall_mean","HuntDen_All_mean","WoodyVeg_mean"
"1",1962,"0-1",0.7598024851,0.9789316876,4.01126813643333
"2",1963,"0-1",0.6078419881,0.4894658438,3.96275932776667
"3",1964,"0-1",1.3980365727,0.9242087982,3.91425051916667
"4",1965,"0-1",1.5196049703,1.2191043687,3.86574171046667
"5",1966,"0-1",1.0941155786,1.3802328763,3.81723290186667
"6",1967,"0-1",1.4892128709,1.1765421214,3.7687240932
"7",1968,"0-1",0.4862735905,0.3617791019,3.72021528456667
"8",1969,"0-1",1.0941155786,1.0366947375,3.6717064759
"9",1970,"0-1",1.37744591965,1.0488553796,3.6231976673
"10",1971,"0-1",1.19318242195,1.2434256529,3.5746888586
"11",1972,"0-1",0.99372287455,1.2343051713,3.52618005
"12",1973,"0-1",2.11391486995,0.4560240781,3.47767124133333
"13",1974,"0-1",1.869452214,0.5411485726,3.4291624327
"14",1975,"0-1",1.9758245619,1.1826224425,3.38065362403333
"15",1976,"0-1",1.4588207715,1.033654577,3.33214481543333
"16",1977,"0-1",2.097054859,1.0610160216,3.28363600673333
"17",1978,"0-1",0.9257566412,1.0062931323,3.23512719813333
"18",1979,"0-1",0.5774498887,0.8482047852,3.18661838946667
"19",1980,"0-1",1.276468175,0.4043413492,3.13810958083333
"20",1981,"0-1",1.2667671302,0.449943757,3.08960077216667
"21",1982,"0-1",1.5325812536,0.6445140303,3.04109196353333
"22",1983,"0-1",2.11108344475,0.7113975618,2.9925831549
"23",1984,"0-1",1.32127633653333,1.1400601952,2.94407434623333
"24",1985,"0-1",0.391806421433333,1.1826224425,2.89556553763333
"25",1986,"0-1",0.58855506,0.7235582039,2.84705672893333
"26",1987,"0-1",0.4120530638,0.3465782993,2.79854792033333
"27",1988,"0-1",0.8559218465,0.4529839176,2.75003911166667
"28",1989,"0-1",0.964808687666667,0.5411485726,2.70153030303333
"29",1990,"0-1",1.35631256603333,0.7326786854,2.65302149436667
"30",1991,"0-1",1.45626630483333,0.8482047852,2.60451268573333
"31",1992,"0-1",NA,0.9758915271,2.55600387706667
"32",1993,"0-1",1.500960272,1.1674216399,2.50749506846667
"33",1994,"0-1",1.5804531152,1.1613413188,2.45898625976667
"34",1995,"0-1",1.6292483277,0.9606907245,2.41047745116667
"35",1996,"0-1",1.31798845393333,0.7144377223,2.3619686425
"36",1997,"0-1",1.05794270956667,0.6171525857,2.31345983386667
"37",1998,"0-1",1.27382261436667,0.3982610282,2.2649510252
"38",1999,"0-1",1.87333596446667,0.5168272885,2.2164422166
"39",2000,"0-1",NA,0.7448393275,2.1679334079
"40",2001,"0-1",2.2922791054,1.0275742559,2.1194245993
"41",2002,"0-1",1.3161678408,1.039734898,2.07091579063333
"42",2003,"0-1",2.33513253156667,0.9424497613,2.022406982
"43",2004,"0-1",2.35584317123333,0.9546104034,1.97389817333333
"44",2005,"0-1",2.74567069766667,1.0427750585,1.92538936473333
"45",2006,"0-1",3.3127388352,1.2130240477,1.87688055606667
"46",2007,"0-1",1.7615080554,1.1400601952,1.82837174743333
"47",2008,"0-1",2.07862142556667,1.2343051713,1.7798629388
"48",2009,"0-1",1.10919646675,1.0670963427,1.7313541301
"49",2010,"0-1",1.47454880943333,0.6505943514,1.6828453215
"50",2011,"0-1",1.09689500806667,0.29185541,1.63433651283333
"51",2012,"0-1",0.914777398533333,0.1276867419,1.5858277042
"52",1962,"0-2",1.07838662192,1.63384689964,20.67733134486
"53",1963,"0-2",1.3829721824,0.88366387099,20.59773215482
"54",1964,"0-2",1.57308176713333,1.09268038382,20.51813296475
"55",1965,"0-2",1.33052521206667,1.52623443762,20.43853377468
"56",1966,"0-2",1.36882545806667,1.60694378414,20.35893458463
"57",1967,"0-2",1.37223209883333,1.45380297279,20.27933539457
"58",1968,"0-2",1.49679989496667,0.40872040872,20.19973620451
"59",1969,"0-2",1.23035572261667,1.3317042178,20.12013701446
"60",1970,"0-2",1.47035136483333,1.13303505708,20.04053782441
"61",1971,"0-2",1.66315977611667,1.249960136,19.96093863434
"62",1972,"0-2",1.1615079198125,1.22098755009,19.88133944428
"63",1973,"0-2",1.3881820814,0.51012445946,19.80174025421
"64",1974,"0-2",1.44251105205,0.68189050465,19.72214106414
"65",1975,"0-2",1.4585338913875,0.87228178364,19.64254187411
"66",1976,"0-2",1.579017882075,0.80605873009,19.56294268405
"67",1977,"0-2",2.61308644586,0.71707150184,19.48334349398
"68",1978,"0-2",1.7514386570375,0.60532009899,19.40374430391
"69",1979,"0-2",1.54932468895714,0.77708614418,19.32414511387
"70",1980,"0-2",2.03630300774286,0.75225249913,19.2445459238
"71",1981,"0-2",1.90633083037143,0.76880826245,19.16494673374
"72",1982,"0-2",2.09971245688333,1.19615390504,19.08534754368
"73",1983,"0-2",2.28161376336667,1.32135686569,19.00574835363
"74",1984,"0-2",2.12339577991667,1.62453428277,18.92614916357
"75",1985,"0-2",1.91325916185714,1.72179939268,18.84654997351
"76",1986,"0-2",2.06034201382857,1.47656714749,18.76695078344
"77",1987,"0-2",1.13185117868571,1.33894736425,18.6873515934
"78",1988,"0-2",1.5240576772,1.30687057265,18.60775240334
"79",1989,"0-2",1.7122846621625,1.40827462349,18.52815321327
"80",1990,"0-2",1.350931249275,1.53658178976,18.4485540232
"81",1991,"0-2",2.36806284862857,1.79112665189,18.36895483315
"82",1992,"0-2",1.64116467297143,2.12431139012,18.2893556431
"83",1993,"0-2",1.34432222391429,2.03842836753,18.20975645302
"84",1994,"0-2",2.57887482295714,1.76008459553,18.13015726297
"85",1995,"0-2",1.19336887735714,1.36378100933,18.0505580729
"86",1996,"0-2",2.10826399794286,1.02335312461,17.97095888285
"87",1997,"0-2",1.42977216438571,0.92298380908,17.8913596928
"88",1998,"0-2",1.22181362361429,0.60221589337,17.81176050274
"89",1999,"0-2",1.88921584993333,0.58566012998,17.73216131267
"90",2000,"0-2",1.39795889144,0.76466932162,17.65256212263
"91",2001,"0-2",2.00785981244,1.03059627113,17.57296293256
"92",2002,"0-2",2.24426058828889,0.88159440061,17.4933637425
"93",2003,"0-2",2.54670409187,0.99024159787,17.41376455246
"94",2004,"0-2",3.1877747678,1.22616122616,17.33416536239
"95",2005,"0-2",2.72313422953333,1.52830390807,17.25456617232
"96",2006,"0-2",3.4202727842875,1.53658178976,17.17496698227
"97",2007,"0-2",2.94583963326,1.42689985726,17.0953677922
"98",2008,"0-2",2.71515091532,1.3317042178,17.01576860214
"99",2009,"0-2",1.83725752401,1.29238427971,16.9361694121
"100",2010,"0-2",1.93982273106667,0.95506060061,16.85657022204
"101",2011,"0-2",1.30358187786667,0.53599283975,16.77697103196
"102",2012,"0-2",1.705402053175,0.11438958277,16.69737184191
"103",1962,"0-3",NA,0.826288894142857,25.0495962399
"104",1963,"0-3",NA,0.642824749828572,25.0841183286286
"105",1964,"0-3",0.789206856133333,0.7863749391,25.1186404173857
"106",1965,"0-3",1.22977321566667,1.02095695568571,25.1531625061286
"107",1966,"0-3",0.7797945435,1.01465475224286,25.1876845948571
"108",1967,"0-3",0.844508948033333,1.08467923477143,25.2222066836
"109",1968,"0-3",1.0231706535,0.420146895285714,25.2567287723429
"110",1969,"0-3",1.2517789075,1.14770126905714,25.2912508610714
"111",1970,"0-3",1.2826773532,1.01885622115714,25.3257729498286
"112",1971,"0-3",0.9011596207,1.20512134477143,25.3602950385286
"113",1972,"0-3",1.02628623536667,1.0223574453,25.3948171273
"114",1973,"0-3",0.88381066366,0.430650567714286,25.4293392160286
"115",1974,"0-3",1.05067076762,0.562996839714286,25.4638613047571
"116",1975,"0-3",1.00866341802,0.908217538714286,25.4983833935143
"117",1976,"0-3",0.1395644214,0.873905542271429,25.5329054822286
"118",1977,"0-3",0.6172920504,0.606412018928571,25.5674275709714
"119",1978,"0-3",0.49929780594,0.469864277942857,25.6019496597143
"120",1979,"0-3",1.10290377725,0.539888760471429,25.6364717484571
"121",1980,"0-3",1.2073374709,0.597308836185714,25.6709938372
"122",1981,"0-3",0.995354114266667,0.577701981057143,25.7055159259286
"123",1982,"0-3",0.972048259866667,0.661731360157143,25.7400380146714
"124",1983,"0-3",1.30482439575,0.773770532214286,25.7745601034
"125",1984,"0-3",1.2764894627,0.913119252471429,25.8090821921429
"126",1985,"0-3",0.95727321084,1.01045328325714,25.8436042808714
"127",1986,"0-3",1.27236965482,0.897713866357143,25.8781263696
"128",1987,"0-3",0.940101416983333,1.10708706917143,25.9126484583571
"129",1988,"0-3",1.13600510086667,0.9187212111,25.9471705471
"130",1989,"0-3",1.13644917226667,1.19461767241429,25.9816926358143
"131",1990,"0-3",1.1351019678,1.2695438687,26.0162147245571
"132",1991,"0-3",0.972024201825,1.43970336135714,26.0507368133286
"133",1992,"0-3",0.93269931895,1.6035606505,26.0852589020286
"134",1993,"0-3",1.39908163224,1.55944522647143,26.1197809907714
"135",1994,"0-3",1.27951669474,1.39208671318571,26.1543030795286
"136",1995,"0-3",1.00418100784,1.15190273804286,26.1888251682571
"137",1996,"0-3",0.7883305075,0.760465880557143,26.2233472569857
"138",1997,"0-3",0.85476132502,0.6939426221,26.2578693457429
"139",1998,"0-3",1.29097009162,0.464364594285714,26.2923914344714
"140",1999,"0-3",1.2729216311,0.587549240714286,26.3269135231857
"141",2000,"0-3",2.04825222351667,0.687896284257143,26.3614356119429
"142",2001,"0-3",1.26459156858571,0.987553317514286,26.3959577006857
"143",2002,"0-3",2.15887348818,0.834610582271429,26.4304797894286
"144",2003,"0-3",1.8436347916,0.918348459957143,26.4650018781571
"145",2004,"0-3",2.3796838709,1.14672448994286,26.4995239669143
"146",2005,"0-3",2.22658503892857,1.31627639094286,26.5340460556286
"147",2006,"0-3",1.74704175377143,1.40970294865714,26.5685681443714
"148",2007,"0-3",2.14445506372,1.46921912618571,26.6030902331143
